Aktivitätstyp,Datum,Favorit,Titel,Distanz,Kalorien,Zeit,Ø Herzfrequenz,Maximale Herzfrequenz,Ø Schrittfrequenz (Laufen),Max. Schrittfrequenz (Laufen),Ø Pace,Beste Pace,Anstieg gesamt,Abstieg gesamt,Ø Schrittlänge,Durchschnittliches vertikales Verhältnis,Ø vertikale Bewegung,Training Stress Score®,Grit,Flow,Tauchzeit,Minimale Temperatur,Oberflächenpause,Dekompression,Beste Rundenzeit,Anzahl der Runden,Maximale Temperatur,Zeit in Bewegung,Verstrichene Zeit,Minimale Höhe,Maximale Höhe
Laufen,2022-01-18 07:03:15,false,"Benediktbeuern Laufen","6.45","434","00:37:01","145","166","167","172","5:44","5:10","36","34","1.04","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","02:33.76","7","0.0","00:36:58","00:41:10","600","640"
Laufen,2022-01-17 08:21:50,false,"Benediktbeuern Laufen","4.52","301","00:23:21","156","174","168","176","5:10","4:43","55","54","1.15","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","02:40.88","5","0.0","00:23:14","00:23:21","639","680"
Laufen,2022-01-15 07:44:49,false,"Dübendorf Laufen","10.10","674","00:46:50","170","192","171","179","4:38","3:52","55","55","1.26","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","00:29.64","11","0.0","00:46:32","00:46:50","430","484"
Laufen,2022-01-14 08:06:20,false,"Dübendorf Laufen","4.34","284","00:21:05","156","184","170","179","4:52","4:05","29","30","1.21","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","01:27.05","5","0.0","00:21:03","00:21:47","432","458"
Laufen,2022-01-13 07:11:07,false,"Dübendorf Laufen","3.36","215","00:18:07","138","155","171","179","5:23","4:41","13","14","1.09","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","01:52.25","4","0.0","00:18:05","00:18:07","435","456"
Laufen,2022-01-11 07:25:51,false,"Dübendorf Laufen","2.45","160","00:13:24","139","150","172","176","5:28","4:54","40","--","1.07","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","02:25.51","3","0.0","00:13:23","00:13:24","398","439"
Laufen,2022-01-10 05:39:54,false,"Dübendorf Laufen","5.55","374","00:29:37","153","171","167","229","5:20","3:53","76","75","1.12","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","02:56.21","6","0.0","00:29:28","00:31:03","432","497"
Laufen,2022-01-09 11:07:52,false,"Dübendorf Laufen","3.01","198","00:15:19","150","163","170","178","5:06","4:20","19","17","1.15","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","00:02.42","4","0.0","00:15:17","00:15:19","434","456"
Laufen,2022-01-07 07:42:15,false,"Dübendorf Laufen","3.17","198","00:14:36","156","174","177","186","4:36","3:49","16","15","1.23","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","00:42.43","4","0.0","00:14:34","00:14:36","434","455"
Laufen,2022-01-06 07:51:45,false,"Dübendorf Laufen","4.15","269","00:21:42","146","173","172","178","5:14","4:21","61","60","1.11","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nein","00:46.64","5","0.0","00:21:36","00:21:42","434","496"
